reviews,sentiment
honestly nt know wtf main character needed go room old man  dye hair red attempting board plane  beginning expectations would thrillingly good ending nt chief ,pos
Great acting  interesting storyline  someone fluent Korean  watching show without rely subtitles  someone also fluent English  reading subtitles well  believe high budget production ruined shockingly poor translation  nonKorean speakers must rely subtitles  please believe tell actual dialog poor  s shame Netflix QC translated subtitles ,neg
hearing hype seeing one watched series entire world finally found time watch Squid Game  admit fun watching entertained throughout entire season  s hundreds contestants  luck need money  asked play children s games shot winning lot money  456 billion  33 million dollars   thing children games deadly last contestant standing wins money  pull world know ll hooked  s thriller lots twists lots violence  show stay mind long watched  know s already renewed another seasons hope keep magic season one ,pos
Squid Game show stay mind long watched  reading great reviews seeing one watched series entire world finally found time watch Squid Game  admit fun watching entertained throughout entire season  s hundreds contestants  luck need money  asked play children s games shot winning lot money  456 billion  33 million dollars   thing children games deadly last contestant standing wins money  pull world know ll hooked  s thriller lots twists lots violence  know s already renewed another seasons hope keep magic season one ,pos
found show fantastic  ruined horrible VIP acting ,pos
Hype stand time  series measure standards good  much less great  Korean Drama  cast excellent  course  except VIPs  though inside joke American actors rich   plot predictable beginning end  moment 001  old man s number heavyhanded hint  showed  repetition mixed violence gore evident  outcome always predictableHowever  Blessings Netflix bringing international film world  especially pandemic  nt try  guys  stream ,pos
show like mixtape  better  shows  virtually see Netflix algorithm action   capitalism parable Parasite Oscar  let s go  people responded really well colorful uniforms weird masks Casa de Papel  let s give people chance dress characters Halloween give show free PR  Oh  Battle Royale really successful influential  let s pretty much steal whole concept right classical music cheery female speaker   VIPs get lot flak acting many reviews IMDb  rightly  let s honest  Korean actors better  show filled brim bad Asian style overacting  something far common Korean Japanese shows  bad guy face tattoo right school play  guy lead pulling faces like madman  idea would nt surprised originally comedians  best actor whole show main character s daughter s couple minutesAs per usual Netflix production story stretched thin order make nine hours    long ,pos
loved three last episodes killed vibe ,neg
 light spoilers plot details  Squid Game story large group deeply indebted Korean citizens willingly take part deadly game hopes taking away massive cash prize expense participants  livesNow  s well good  nt love good show violence human selfishness  many great character moments series  moments shameless manipulation  hopefuly naïvety  self deception  However  story paints lives participants way often boring  uninteresting  downright unbelievable  Honestly  none characters act like real people  several GLARING plot holes nonsensical plot points boot  example  456 people go missing exact time  staying missing three days  255 NEVER RETURNED  absolutely nobody  anywhere  seems notice insane phenomenon would ve made international headlines real world  mentioned friend  pointed detail missed  games going YEARS  several mass kidnappings  involving hundreds people disappearing single day  remain completely unnoticed anybody  Would nt police taking missing person reports seriously   s       howBut  nt worry  main character  sane man  goes police  Good boy  maybe something mass murder  However  none officers take seriously   s next move  Go different police station  Call news outlet  Nope  hero gave right  nt even write blog horror show subject  fully gave police mean  saw 200 people shot death goofy red light green light death game  almost died  best dead people  suppose assume nobody else went police   also laughed complete silence  say    police officer half job detective overheard main character  brother one people went missing  decides investigate BOOKS  conveniently informing noone investigation wherabouts  First  fact s investigating brother missing mind blowingly selfish  Second  NT WRITE  guy even real cop  role playing  HAPPENING WAY S HAPPENING  NOBODY NOTICE 456 PEOPLE MISSING 3 DAYS  255 NEVER RETURNED  Honestly  detective character goes Solid Snake hops bad guy boat  making calls unit  nothing pistol cell phone  wonder  bad things South Korea right   must damn near post apocalyptic groundbreaking case hands madman probably nt actual law enforcementSpeaking plot  could nt write show without discussing insane premise relies upon  main characters decided take part game would kill one  participants made aware fact  surely realize simple reality everyone met first game virtually chance survival  yet nobody acts case  3  people unknowingly thrust lethal game witnessed 255 people killed eyes decided lives nt bad enough warrant throwing away game one person could survive  even gon na ask one  m gon na call bulls   t Everyone family loved ones  everyone voted end games first session bloody horror  determined  fact  reason live going die anyway  every last one decided chance normal life give murder games another shot  cares odds  amiright  Furthermore  beloved main characters  stupid enough enter lethal lottery  continue develop friendships murder game  forever denial fact die  nt understand people  excluding actual psychopaths  rationalize reentering game  Sure  maybe nt even consider odds  maybe degenerate gamblers stupid arrogant believe sole victor   However  hardly explains married couple entered games  knowing fact LEAST one would die  husband imbecilic audacity get upset wife died  think going happen  knew going happen  information  nt know going happen  found frequently asking television question initial viewing seriesThere many impossibly irrational character choices show list  far many critical viewer ignore  Without reasonable people remotely well thoughtout story  s damn near impossible suspend disbelief  watched anyway  see much plot holehole could go  thought ut technically could worse  story would change life counteract inexcusable implausibility  way  last episode aost unwatchably dull features two different yet equally flacid plot twists  Also  first two games decent ones  kinda suck thatReally quick  wrap  let s plot holestupid character choices lightning round  elderly founder participate games  including several physically demanding ones like tug war  impossibly stupid gamble  metal detectors exist  squid games facility might consider trying  rules every game arbitrarily change favor plot  tempered glass refracts light differently normal glass  anybody could see difference  Gihun s gambling debt put dangerous situation loan sharks  yet able survive years without touching money  m getting tired point  ll leave thatIf nt give good god damn attention detail  like mediocre  violent spectacle comes grinding hault frequent irritating character drama  might series  Also  production design actually quite fascinating  s something interests  watch episode two ,neg
first couple episodes well done pack punch  end seems run steam  marbles episode last real swerve  becomes paint numbers point started fast forwarding get endEarly episodes eight  final episodes three ,pos
